source_id,name,cuisine_type,website,phone,google_maps_url,address_full,postal_code,neighborhood
1,Casa Jaime,Spanish,http://www.casajaime.cat/,+34 931 89 32 22,https://www.google.com/maps/search/?api=1&query=Casa+Jaime+C%2F+del+Consell+de+Cent%2C+222+Barcelona,"C/ del Consell de Cent, 222",08011,Eixample
2,La Flauta,Mediterranean,https://laflautagroup.com,+34 933 23 70 38,https://www.google.com/maps/search/?api=1&query=La+Flauta+C%2F+de+Calabria%2C+117+Barcelona,"C/ de Calabria, 117",08036,Eixample
3,Vivant,Mediterranean,https://vivantbcn.com/,+34 932725879,https://www.google.com/maps/search/?api=1&query=Vivant+C%2F+del+Consell+de+Cent%2C+335+Barcelona,"C/ del Consell de Cent, 335",08007,Eixample
4,Ceviche 103,Peruvian,https://www.ceviche103.com/,+34 932 09 88 35,https://www.google.com/maps/search/?api=1&query=Ceviche+103+C%2F+de+Londres%2C+103+Barcelona,"C/ de Londres, 103",08036,Eixample
5,Baldomero,Mediterranean,https://casabaldomero.com/,,https://www.google.com/maps/search/?api=1&query=Baldomero+Passatge+de+Mercader%2C+16+Barcelona,"Passatge de Mercader, 16",08008,Eixample
6,Maur,Catalan,,+34 934 54 88 69,https://www.google.com/maps/search/?api=1&query=Maur+C%2F+de+Muntaner%2C+121+Barcelona,"C/ de Muntaner, 121",08036,Eixample
7,Boro Bar,Spanish,https://borobar.es/,,https://www.google.com/maps/search/?api=1&query=Boro+Bar+C%2F+de+la+Diputaci%C3%B3%2C+286+Barcelona,"C/ de la Diputació, 286",08009,Eixample
8,Franca,Catalan,https://www.francabarcelona.com/,+34 937 21 41 09,https://www.google.com/maps/search/?api=1&query=Franca+C%2F+de+Roger+de+Ll%C3%BAria%2C+46+Barcelona,"C/ de Roger de Llúria, 46",08009,Eixample
9,Balthazar,Mediterranean,https://www.andilana.com/balthazar/,+34 932 17 82 50,https://www.google.com/maps/search/?api=1&query=Balthazar+C%2F+del+Rossell%C3%B3%2C+189+Barcelona,"C/ del Rosselló, 189",08036,Eixample
10,Claris 118,Catalan,https://www.claris118.com/,+34 934 88 28 37,https://www.google.com/maps/search/?api=1&query=Claris+118+C%2F+de+Pau+Claris%2C+118+Barcelona,"C/ de Pau Claris, 118",08009,Eixample
11,La Pubilla,Catalan,https://restaurantelapubilla.com/,+34 932 18 29 94,https://www.google.com/maps/search/?api=1&query=La+Pubilla+Pla%C3%A7a+de+la+Llibertat%2C+23+Barcelona,"Plaça de la Llibertat, 23",08012,Gràcia
12,Fonda Pepa,Catalan,https://fondapepa.cat/,+34 932 17 10 10,https://www.google.com/maps/search/?api=1&query=Fonda+Pepa+C%2F+de+Ram%C3%B3n+y+Cajal%2C+2+Barcelona,"C/ de Ramón y Cajal, 2",08012,Gràcia
13,Casa Lopez,Spanish,,+34 634 59 21 65,https://www.google.com/maps/search/?api=1&query=Casa+Lopez+C%2F+del+Topazi%2C+11+Barcelona,"C/ del Topazi, 11",08012,Gràcia
14,El Far del Nord,Mediterranean,https://elfardelnord.com/,+34 937 37 98 55,https://www.google.com/maps/search/?api=1&query=El+Far+del+Nord+C%2F+de+la+Provid%C3%A8ncia%2C+88+Barcelona,"C/ de la Providència, 88",08024,Gràcia
15,Cafè Salambó,Mediterranean,https://www.cafesalambo.com/,+34 932 18 69 66,https://www.google.com/maps/search/?api=1&query=Caf%C3%A8+Salamb%C3%B3+C%2F+de+Torrijos%2C+51+Barcelona,"C/ de Torrijos, 51",08012,Gràcia
16,Casa Pages,Spanish,,+34 934 573 545,https://www.google.com/maps/search/?api=1&query=Casa+Pages+C%2F+de+la+Llibertat%2C+19+Barcelona,"C/ de la Llibertat, 19",08012,Gràcia
17,Kibuka Ramen,Japanese,https://kibuka.com/,+34 933682036,https://www.google.com/maps/search/?api=1&query=Kibuka+Ramen+C%2F+de+Torrijos%2C+15+Barcelona,"C/ de Torrijos, 15",08012,Gràcia
18,Cal Boter,Catalan,https://restaurantcalboter.com/,+34 934588462,https://www.google.com/maps/search/?api=1&query=Cal+Boter+C%2F+Major+de+Gr%C3%A0cia%2C+56+Barcelona,"C/ Major de Gràcia, 56",08012,Gràcia
19,La Trini,Mediterranean,https://latrini30.com,+34 932 37 03 35,https://www.google.com/maps/search/?api=1&query=La+Trini+C%2F+de+Verdi%2C+30+Barcelona,"C/ de Verdi, 30",08012,Gràcia
20,La Caceta,Mediterranean,,,https://www.google.com/maps/search/?api=1&query=La+Caceta+C%2F+del+Planet%2C+3+Barcelona,"C/ del Planet, 3",08012,Gràcia
21,Ristorante Gravin,Italian,https://gravinristorante.com,,https://www.google.com/maps/search/?api=1&query=Ristorante+Gravin+C%2F+de+l%27Argenteria%2C+64+Barcelona,"C/ de l'Argenteria, 64",08003,El Born
22,El Casal Cafe Bar,Mediterranean,https://elcasalcafe.es,,https://www.google.com/maps/search/?api=1&query=El+Casal+Cafe+Bar+C%2F+de+Sant+Pere+M%C3%A9s+Alt%2C+1+Barcelona,"C/ de Sant Pere Més Alt, 1",08003,El Born
23,Quillo Bar Tapas,Spanish,https://quillo-bar.com,+34 931 38 31 30,https://www.google.com/maps/search/?api=1&query=Quillo+Bar+Tapas+C%2F+de+Banys+Vells%2C+12+Barcelona,"C/ de Banys Vells, 12",08003,El Born
24,En Aparte,French,,,https://www.google.com/maps/search/?api=1&query=En+Aparte+C%2F+del+Rec%2C+4+Barcelona,"C/ del Rec, 4",08003,El Born
25,El Racó de Montjuïc,Mediterranean,,+34 930 004 851,https://www.google.com/maps/search/?api=1&query=El+Rac%C3%B3+de+Montju%C3%AFc+Av.+de+Miramar%2C+1+Barcelona,"Av. de Miramar, 1",08038,Poble Sec
26,Bagaría Barcelona,Mediterranean,,,https://www.google.com/maps/search/?api=1&query=Bagar%C3%ADa+Barcelona+C%2F+Nou+de+la+Rambla%2C+152+Barcelona,"C/ Nou de la Rambla, 152",08004,Poble Sec
27,Antic Café Espanyol,Catalan,,+34 931 060 534,https://www.google.com/maps/search/?api=1&query=Antic+Caf%C3%A9+Espanyol+Av.+del+Paral%C2%B7lel%2C+64+Barcelona,"Av. del Paral·lel, 64",08001,Poble Sec
28,Brisas do Sil,Spanish,,+34 933 250 446,https://www.google.com/maps/search/?api=1&query=Brisas+do+Sil+C%2F+de+Jaume+Fabra%2C+16+Barcelona,"C/ de Jaume Fabra, 16",08004,Poble Sec
29,Rosa Negra,Mexican,https://rosanegra.cat/,+34 933010226,https://www.google.com/maps/search/?api=1&query=Rosa+Negra+C%2F+dels+Tallers%2C+71+Barcelona,"C/ dels Tallers, 71",08001,El Raval
30,MamaCafe,Mediterranean,,+34 933 012 940,https://www.google.com/maps/search/?api=1&query=MamaCafe+C%2F+del+Doctor+Dou%2C+10+Barcelona,"C/ del Doctor Dou, 10",08001,El Raval
31,Bar Muy Buenas,Spanish,http://muybuenas.cat/,+34 938072857,https://www.google.com/maps/search/?api=1&query=Bar+Muy+Buenas+C%2F+del+Carme%2C+63+Barcelona,"C/ del Carme, 63",08001,El Raval
32,Bar Bodega Agustín,Spanish,,,https://www.google.com/maps/search/?api=1&query=Bar+Bodega+Agust%C3%ADn+C%2F+de+Ferlandina%2C+32+Barcelona,"C/ de Ferlandina, 32",08001,El Raval
33,Casa Bella,Spanish,,+34 933 18 24 59,https://www.google.com/maps/search/?api=1&query=Casa+Bella+C%2F+de+Montserrat%2C+15+Barcelona,"C/ de Montserrat, 15",08001,El Raval
34,Norai Raval,Mediterranean,https://norai.org,+34 646 852 697,https://www.google.com/maps/search/?api=1&query=Norai+Raval+Av.+de+les+Drassanes%2C+s%2Fn+Barcelona,"Av. de les Drassanes, s/n",08001,El Raval
35,Els Ocellets,Catalan,https://elsocellets.com,,https://www.google.com/maps/search/?api=1&query=Els+Ocellets+C%2F+de+Villadomat%2C+25+Barcelona,"C/ de Villadomat, 25",08015,Sant Antoni
36,Bar Chiqui,Japanese,https://barchiqui.com,+34 933 25 08 33,https://www.google.com/maps/search/?api=1&query=Bar+Chiqui+C%2F+de+Vilamar%C3%AD%2C+29+Barcelona,"C/ de Vilamarí, 29",08015,Sant Antoni
37,Ca La Montse,Seafood,https://restaurantcalamontse.com,,https://www.google.com/maps/search/?api=1&query=Ca+La+Montse+C%2F+de+l%27Almirall+Aixada%2C+18+Barcelona,"C/ de l'Almirall Aixada, 18",08003,Barceloneta
