source_id,name,cuisine_type,website,phone,google_maps_url,address_full,postal_code
21,Ristorante Gravin,Italian,https://gravinristorante.com,,https://www.google.com/maps/search/?api=1&query=Ristorante+Gravin+C%2F+de+l%27Argenteria%2C+64+Barcelona,"C/ de l'Argenteria, 64",08003
22,El Casal Cafe Bar,Mediterranean,https://elcasalcafe.es,,https://www.google.com/maps/search/?api=1&query=El+Casal+Cafe+Bar+C%2F+de+Sant+Pere+M%C3%A9s+Alt%2C+1+Barcelona,"C/ de Sant Pere Més Alt, 1",08003
23,Quillo Bar Tapas,Spanish,https://quillo-bar.com,+34 931 38 31 30,https://www.google.com/maps/search/?api=1&query=Quillo+Bar+Tapas+C%2F+de+Banys+Vells%2C+12+Barcelona,"C/ de Banys Vells, 12",08003
24,En Aparte,French,,,https://www.google.com/maps/search/?api=1&query=En+Aparte+C%2F+del+Rec%2C+4+Barcelona,"C/ del Rec, 4",08003
199,La Paradeta,Seafood,https://laparadeta.com/,,https://www.google.com/maps/search/?api=1&query=La+Paradeta+C%2F+dels+Banys+Vells%2C+122+Barcelona,"C/ dels Banys Vells, 122",08003
200,Spacca Napoli,Italian,,,https://www.google.com/maps/search/?api=1&query=Spacca+Napoli+C%2F+dels+Flassaders%2C+36+Barcelona,"C/ dels Flassaders, 36",08003
201,Montiel,Mediterranean,https://restaurantmontiel.com/,+34 932683729,https://www.google.com/maps/search/?api=1&query=Montiel+Passeig+del+Born%2C+42+Barcelona,"Passeig del Born, 42",08003
202,Pla de la Garsa,Catalan,,,https://www.google.com/maps/search/?api=1&query=Pla+de+la+Garsa+C%2F+dels+Banys+Vells%2C+66+Barcelona,"C/ dels Banys Vells, 66",08003
203,Sagàs,Catalan,,,https://www.google.com/maps/search/?api=1&query=Sag%C3%A0s+C%2F+dels+Banys+Vells%2C+129+Barcelona,"C/ dels Banys Vells, 129",08003
204,Guzzo,Mediterranean,,,https://www.google.com/maps/search/?api=1&query=Guzzo+C%2F+de+Sant+Pere+M%C3%A9s+Alt%2C+191+Barcelona,"C/ de Sant Pere Més Alt, 191",08003
205,Calabrasa,Mediterranean,https://www.calabrasa.com/,+34 933 100 786,https://www.google.com/maps/search/?api=1&query=Calabrasa+C%2F+de+la+Princesa%2C+133+Barcelona,"Pg. del Born, 27, 08003 Barcelona",08003
206,Golfo de Bizkaia Born,Spanish,,,https://www.google.com/maps/search/?api=1&query=Golfo+de+Bizkaia+Born+C%2F+de+l%27Argenteria%2C+172+Barcelona,"C/ de l'Argenteria, 172",08003
207,El Xampanyet,Spanish,https://elxampanyet.es/,+34 933197003,https://www.google.com/maps/search/?api=1&query=El+Xampanyet+C%2F+de+l%27Argenteria%2C+200+Barcelona,"C/ de l'Argenteria, 200",08003
208,Casa Lolea,Spanish,,,https://www.google.com/maps/search/?api=1&query=Casa+Lolea+C%2F+de+Sant+Pere+M%C3%A9s+Alt%2C+186+Barcelona,"C/ de Sant Pere Més Alt, 186",08003
209,Bar del Pla,Spanish,,,https://www.google.com/maps/search/?api=1&query=Bar+del+Pla+C%2F+dels+Banys+Vells%2C+194+Barcelona,"C/ dels Banys Vells, 194",08003
210,Bastaix,Mediterranean,,,https://www.google.com/maps/search/?api=1&query=Bastaix+C%2F+dels+Banys+Vells%2C+155+Barcelona,"C/ dels Banys Vells, 155",08003
211,Txirimiri,Spanish,,,https://www.google.com/maps/search/?api=1&query=Txirimiri+Passeig+del+Born%2C+21+Barcelona,"Passeig del Born, 21",08003
212,Elsa y Fred,Spanish,,,https://www.google.com/maps/search/?api=1&query=Elsa+y+Fred+C%2F+de+Montcada%2C+154+Barcelona,"C/ de Montcada, 154",08003
213,Cremat 11,Café,,,https://www.google.com/maps/search/?api=1&query=Cremat+11+C%2F+de+Montcada%2C+175+Barcelona,"C/ de Montcada, 175",08003
214,Alsur Cafe,Café,,,https://www.google.com/maps/search/?api=1&query=Alsur+Cafe+C%2F+del+Rec%2C+157+Barcelona,"C/ del Rec, 157",08003
367,Passadís del Pep,Seafood,https://passadis.com/,+34 933101021,https://www.google.com/maps/search/?api=1&query=Passad%C3%ADs+del+Pep+Pl.+del+Palau%2C+2+Barcelona,"Pl. del Palau, 2",08003
368,Llamber,Mediterranean,https://llamber.com/,+34 933196250,https://www.google.com/maps/search/?api=1&query=Llamber+C%2F+de+la+Fusina%2C+5+Barcelona,"C/ de la Fusina, 5",08003
369,Tantarantana,Mediterranean,,,https://www.google.com/maps/search/?api=1&query=Tantarantana+C%2F+de+Tantarantana%2C+24+Barcelona,"C/ de Tantarantana, 24",08003
476,Euskal Etxea,Basque,https://euskaletxeabarcelona.com/,+34 933102185,https://www.google.com/maps/search/?api=1&query=Euskal+Etxea+Pl.+de+Montcada%2C+1-3+Barcelona,"Pl. de Montcada, 1-3",08003
477,La Bàscula,Vegetarian/Vegan,,,https://www.google.com/maps/search/?api=1&query=La+B%C3%A0scula+C%2F+dels+Flassaders%2C+30+Barcelona,"C/ dels Flassaders, 30",08003
478,Bornet Bar,Mediterranean,,,https://www.google.com/maps/search/?api=1&query=Bornet+Bar+Pl.+Comercial%2C+10+Barcelona,"Pl. Comercial, 10",08003
479,Senyor Parellada,Catalan,https://senyorparellada.com/,+34 933105094,https://www.google.com/maps/search/?api=1&query=Senyor+Parellada+C%2F+de+l%27Argenteria%2C+37+Barcelona,"C/ de l'Argenteria, 37",08003
480,El Petit Bangkok,Asian,,,https://www.google.com/maps/search/?api=1&query=El+Petit+Bangkok+C%2F+de+l%27Argenteria%2C+58+Barcelona,"C/ de l'Argenteria, 58",08003
554,Bar Puntal,Mediterranean,,,https://www.google.com/maps/search/?api=1&query=Bar+Puntal+C%2F+de+Sant+Pere+M%C3%A9s+Baix%2C+45+Barcelona,"C/ de Sant Pere Més Baix, 45",08003
555,Mantequerias Pirenaicas,Spanish,,,https://www.google.com/maps/search/?api=1&query=Mantequerias+Pirenaicas+C%2F+de+l%27Argenteria%2C+65+Barcelona,"C/ de l'Argenteria, 65",08003
590,Taller de Tapas Argenteria,Spanish,https://tallerdetapas.com/,+34 932688559,https://www.google.com/maps/search/?api=1&query=Taller+de+Tapas+Argenteria+C%2F+de+l%27Argenteria%2C+51+Barcelona,"C/ de l'Argenteria, 51",08003
595,El Passadís d'en Pep,Seafood,https://passadis.com/,+34 933101021,https://www.google.com/maps/search/?api=1&query=El+Passad%C3%ADs+d%27en+Pep+Pl.+del+Palau%2C+2+Barcelona,"Pl. del Palau, 2",08003
624,Bacoa Born,Gastropub,https://bacoaburger.com/,+34 932689548,https://www.google.com/maps/search/?api=1&query=Bacoa+Born+C%2F+del+Bou+de+la+Pla%C3%A7a+Nova%2C+6+Barcelona,"C/ del Bou de la Plaça Nova, 6",08002
669,Origen 99.99%,Catalan,,,https://www.google.com/maps/search/?api=1&query=Origen+99.99%25+C%2F+de+la+Vidrieria%2C+6-8+Barcelona,"C/ de la Vidrieria, 6-8",08003
