source_id,name,cuisine_type,website,phone,google_maps_url,address_full,postal_code
48,L'Antull,Spanish,,,https://www.google.com/maps/search/?api=1&query=L%27Antull+C%2F+d%27Europa%2C+33+Barcelona,"C/ d'Europa, 33",08028
290,Casa Petra,Mediterranean,,,https://www.google.com/maps/search/?api=1&query=Casa+Petra+Travessera+de+les+Corts%2C+72+Barcelona,"Travessera de les Corts, 72",08029
291,OBBA Corea BBQ,Asian,,,https://www.google.com/maps/search/?api=1&query=OBBA+Corea+BBQ+Travessera+de+les+Corts%2C+60+Barcelona,"Travessera de les Corts, 60",08028
292,Yashima,Japanese,,,https://www.google.com/maps/search/?api=1&query=Yashima+Av.+Diagonal%2C+4+Barcelona,"Av. Diagonal, 4",08029
293,Chennai Masala Dosa,Indian,,,https://www.google.com/maps/search/?api=1&query=Chennai+Masala+Dosa+Travessera+de+les+Corts%2C+81+Barcelona,"Travessera de les Corts, 81",08028
294,Bangkok Cafe,Asian,,,https://www.google.com/maps/search/?api=1&query=Bangkok+Cafe+Travessera+de+les+Corts%2C+123+Barcelona,"Travessera de les Corts, 123",08028
295,Bar Manila,Spanish,,,https://www.google.com/maps/search/?api=1&query=Bar+Manila+C%2F+de+Num%C3%A0ncia%2C+75+Barcelona,"C/ de Numància, 75",08029
296,Baló,Mediterranean,,,https://www.google.com/maps/search/?api=1&query=Bal%C3%B3+C%2F+de+Num%C3%A0ncia%2C+146+Barcelona,"C/ de Numància, 146",08029
297,Bodega Aregall,Spanish,,,https://www.google.com/maps/search/?api=1&query=Bodega+Aregall+C%2F+d%27Aregall%2C+4+Barcelona,"C/ d'Aregall, 4",08028
390,Cervecería Naviera,Spanish,,,https://www.google.com/maps/search/?api=1&query=Cervecer%C3%ADa+Naviera+Av.+Diagonal%2C+534+Barcelona,"Av. Diagonal, 534",08029
419,Cocina Hermanos Torres,Mediterranean,https://cocinahermanostorres.com/,+34 934100020,https://www.google.com/maps/search/?api=1&query=Cocina+Hermanos+Torres+C%2F+del+Taqu%C3%ADgraf+Serra%2C+20+Barcelona,"C/ del Taquígraf Serra, 20",08029
420,Arrosseria Xàtiva Les Corts,Spanish,https://grupxativa.com/,+34 932848502,https://www.google.com/maps/search/?api=1&query=Arrosseria+X%C3%A0tiva+Les+Corts+C%2F+de+Galileu%2C+96+Barcelona,"C/ de Galileu, 96",08028
421,Bar Restaurante Las Corts,Spanish,,,https://www.google.com/maps/search/?api=1&query=Bar+Restaurante+Las+Corts+Travessera+de+les+Corts%2C+110+Barcelona,"Travessera de les Corts, 110",08028
422,Can Fusté,Mediterranean,,,https://www.google.com/maps/search/?api=1&query=Can+Fust%C3%A9+C%2F+de+Vallespir%2C+45+Barcelona,"C/ de Vallespir, 45",08014
