source_id,name,cuisine_type,website,phone,google_maps_url,address_full,postal_code
25,El Racó de Montjuïc,Mediterranean,,+34 930 004 851,https://www.google.com/maps/search/?api=1&query=El+Rac%C3%B3+de+Montju%C3%AFc+Av.+de+Miramar%2C+1+Barcelona,"Av. de Miramar, 1",08038
26,Bagaría Barcelona,Mediterranean,,,https://www.google.com/maps/search/?api=1&query=Bagar%C3%ADa+Barcelona+C%2F+Nou+de+la+Rambla%2C+152+Barcelona,"C/ Nou de la Rambla, 152",08004
27,Antic Café Espanyol,Catalan,,+34 931 060 534,https://www.google.com/maps/search/?api=1&query=Antic+Caf%C3%A9+Espanyol+Av.+del+Paral%C2%B7lel%2C+64+Barcelona,"Av. del Paral·lel, 64",08001
28,Brisas do Sil,Spanish,,+34 933 250 446,https://www.google.com/maps/search/?api=1&query=Brisas+do+Sil+C%2F+de+Jaume+Fabra%2C+16+Barcelona,"C/ de Jaume Fabra, 16",08004
233,Quimet y Quimet,Spanish,https://quimetiquimet.com/,+34 934 423 142,https://www.google.com/maps/search/?api=1&query=Quimet+y+Quimet+Av.+del+Paral%C2%B7lel%2C+149+Barcelona,"Av. del Paral·lel, 149",08004
234,La Bodega d'en Rafel,Catalan,,,https://www.google.com/maps/search/?api=1&query=La+Bodega+d%27en+Rafel+C%2F+de+Magalh%C3%A3es%2C+125+Barcelona,"C/ de Magalhães, 125",08004
235,Bodega Montferry,Spanish,,,https://www.google.com/maps/search/?api=1&query=Bodega+Montferry+C%2F+de+Tapioles%2C+16+Barcelona,"C/ de Tapioles, 16",08004
236,Tickets,Spanish,https://ticketsbar.es/,+34 932924254,https://www.google.com/maps/search/?api=1&query=Tickets+C%2F+del+Poeta+Cabanyes%2C+114+Barcelona,"C/ del Poeta Cabanyes, 114",08004
237,Mano Rota,Mediterranean,https://manorota.com/,+34 931864717,https://www.google.com/maps/search/?api=1&query=Mano+Rota+C%2F+de+Blai%2C+77+Barcelona,"C/ de Blai, 77",08004
238,Lascar 74,Peruvian,,,https://www.google.com/maps/search/?api=1&query=Lascar+74+C%2F+de+Magalh%C3%A3es%2C+78+Barcelona,"C/ de Magalhães, 78",08004
349,Quimet & Quimet,Spanish,https://www.quimetquimet.com/,+34 934423142,https://www.google.com/maps/search/?api=1&query=Quimet+%26+Quimet+C%2F+del+Poeta+Cabanyes%2C+25+Barcelona,"C/ del Poeta Cabanyes, 25",08004
350,Bar Seco,Mediterranean,,,https://www.google.com/maps/search/?api=1&query=Bar+Seco+Pg.+de+Montju%C3%AFc%2C+74+Barcelona,"Pg. de Montjuïc, 74",08038
351,Al Bistró,Mediterranean,,,https://www.google.com/maps/search/?api=1&query=Al+Bistr%C3%B3+C%2F+de+Blai%2C+56+Barcelona,"C/ de Blai, 56",08004
352,La Tomaquera,Catalan,https://latomaquera.cat/,+34 675902389,https://www.google.com/maps/search/?api=1&query=La+Tomaquera+C%2F+de+Margarit%2C+58+Barcelona,"C/ de Margarit, 58",08004
353,Bodega Saltó,Spanish,,,https://www.google.com/maps/search/?api=1&query=Bodega+Salt%C3%B3+C%2F+de+Blesa%2C+36+Barcelona,"C/ de Blesa, 36",08004
354,La Bella Napoli,Italian,https://labellanapoli.es/,+34 934426056,https://www.google.com/maps/search/?api=1&query=La+Bella+Napoli+C%2F+de+Margarit%2C+14+Barcelona,"C/ de Margarit, 14",08004
